Name,State,lat,lon
KABUPATEN BATANG HARI,JAMBI,-1.2232767,102.245589
KABUPATEN BUNGO,JAMBI,-1.50222,101.96
KABUPATEN KERINCI,JAMBI,-2.0788,101.487
KABUPATEN MERANGIN,JAMBI,-2.06933,102.13303
KABUPATEN MUARO JAMBI,JAMBI,-1.7123315,103.256005245582
KABUPATEN SAROLANGUN,JAMBI,-2.3124408,102.7484787
KABUPATEN TANJUNG JABUNG BARAT,JAMBI,-1.1544,103.24402
KABUPATEN TANJUNG JABUNG TIMUR,JAMBI,-1.13198,103.61755
KABUPATEN TEBO,JAMBI,-1.45576,102.37473
KOTA JAMBI,JAMBI,-1.611572,102.779699
KOTA SUNGAI PENUH,JAMBI,-2.0637828,101.3950143
KABUPATEN LEBAK,BANTEN,-6.6432601,106.18727177777
KABUPATEN PANDEGLANG,BANTEN,-6.5471324,105.79932784037
KABUPATEN SERANG,BANTEN,-6.1169662,106.1518079
KABUPATEN TANGERANG,BANTEN,-6.1727031,106.6408501
KOTA CILEGON,BANTEN,-6.017389,106.0537688
KOTA SERANG,BANTEN,-6.1169662,106.1518079
KOTA TANGERANG,BANTEN,-6.1727031,106.6408501
KOTA TANGERANG SELATAN,BANTEN,-6.2955404,106.7085494
KABUPATEN BANGKA,BANGKA BELITUNG,-2.25,106
KABUPATEN BANGKA BARAT,BANGKA BELITUNG,-1.95839,105.53741
KABUPATEN BANGKA SELATAN,BANGKA BELITUNG,-2.66803,106.01257
KABUPATEN BANGKA TENGAH,BANGKA BELITUNG,-2.33989,106.1142
KABUPATEN BELITUNG,BANGKA BELITUNG,-2.8991634,107.905844412844
KABUPATEN BELITUNG TIMUR,BANGKA BELITUNG,-2.3263646,106.230181248578
KOTA PANGKAL PINANG,BANGKA BELITUNG,-2.1206733,106.1134604
KABUPATEN BANDUNG,JAWA BARAT,-6.9344694,107.6049539
KABUPATEN BANDUNG BARAT,JAWA BARAT,-6.9344694,107.6049539
KABUPATEN BEKASI,JAWA BARAT,-6.2349858,106.9945444
KABUPATEN BOGOR,JAWA BARAT,-6.5962986,106.7972421
KABUPATEN CIAMIS,JAWA BARAT,-7.4759,108.5351
KABUPATEN CIANJUR,JAWA BARAT,-6.824096,107.1374006
KABUPATEN CIREBON,JAWA BARAT,-6.7137044,108.5608483
KABUPATEN GARUT,JAWA BARAT,-7.2162543,107.9014912
KABUPATEN INDRAMAYU,JAWA BARAT,-6.44806,108.19194
KABUPATEN KARAWANG,JAWA BARAT,-6.3042012,107.307897
KABUPATEN KUNINGAN,JAWA BARAT,-6.9975,108.5555
KABUPATEN MAJALENGKA,JAWA BARAT,-6.80771955,108.278967051213
KABUPATEN PANGANDARAN,JAWA BARAT,-7.6872621,108.6531455
KABUPATEN PURWAKARTA,JAWA BARAT,-6.5607313,107.4439799
KABUPATEN SUBANG,JAWA BARAT,-6.50833,107.7025
KABUPATEN SUKABUMI,JAWA BARAT,-6.9199289,106.9265095
KABUPATEN SUMEDANG,JAWA BARAT,-6.8592431,107.9206982
KABUPATEN TASIKMALAYA,JAWA BARAT,-7.3262484,108.2201154
KOTA BANDUNG,JAWA BARAT,-6.9344694,107.6049539
KOTA BANJAR,JAWA BARAT,-7.3762714,108.5425324
KOTA BEKASI,JAWA BARAT,-6.2349858,106.9945444
KOTA BOGOR,JAWA BARAT,-6.5962986,106.7972421
KOTA CIMAHI,JAWA BARAT,-6.8731527,107.5423099
KOTA CIREBON,JAWA BARAT,-6.7137044,108.5608483
KOTA DEPOK,JAWA BARAT,-6.3876732,106.7477563
KOTA SUKABUMI,JAWA BARAT,-6.9199289,106.9265095
KOTA TASIKMALAYA,JAWA BARAT,-7.3262484,108.2201154
KABUPATEN BALANGAN,KALIMANTAN SELATAN,-2.32314,115.62922
KABUPATEN BANJAR,KALIMANTAN SELATAN,-3.3179,115.0348
KABUPATEN BARITO KUALA,KALIMANTAN SELATAN,-2.9587,114.695
KABUPATEN HULU SUNGAI SELATAN,KALIMANTAN SELATAN,-2.9241088,115.0135414
KABUPATEN HULU SUNGAI TENGAH,KALIMANTAN SELATAN,-2.5932,115.4537
KABUPATEN HULU SUNGAI UTARA,KALIMANTAN SELATAN,-2.3918,115.412
KABUPATEN KOTA BARU,KALIMANTAN SELATAN,-3,116
KABUPATEN TABALONG,KALIMANTAN SELATAN,-2.0061596,115.4429515
KABUPATEN TANAH BUMBU,KALIMANTAN SELATAN,-3.39630915,115.985550935204
KABUPATEN TANAH LAUT,KALIMANTAN SELATAN,-3.8878,114.8622
KABUPATEN TAPIN,KALIMANTAN SELATAN,-2.8778,115.0542
KOTA BANJAR BARU,KALIMANTAN SELATAN,-2.5,115.5
KOTA BANJARMASIN,KALIMANTAN SELATAN,-3.3187496,114.5925828
KABUPATEN BURU,MALUKU,-3.439027,126.7040638
KABUPATEN BURU SELATAN,MALUKU,-3.52187,126.59271
KABUPATEN KEPULAUAN ARU,MALUKU,-6,134.5
KABUPATEN MALUKU BARAT DAYA,MALUKU,-7.416667,128
KABUPATEN MALUKU TENGAH,MALUKU,-7.0396558,112.9097099
KABUPATEN MALUKU TENGGARA,MALUKU,-7.064789,113.5003281
KABUPATEN MALUKU TENGGARA BARAT,MALUKU,-7.064789,113.5003281
KABUPATEN SERAM BAGIAN BARAT,MALUKU,-3.1027,128.42996
KABUPATEN SERAM BAGIAN TIMUR,MALUKU,-3.39851,130.39167
KOTA AMBON,MALUKU,-3.6947621,128.1810751
KOTA TUAL,MALUKU,-5.64301,132.74935
KABUPATEN ASMAT,PAPUA,-5.58579275,138.618752280626
KABUPATEN BIAK NUMFOR,PAPUA,-0.94260305,135.941419318101
KABUPATEN BOVEN DIGOEL,PAPUA,-5.95417775,140.399225125
KABUPATEN DEIYAI,PAPUA,-4.1609034,136.403820952016
KABUPATEN DOGIYAI,PAPUA,-4.00097085,135.646981821704
KABUPATEN INTAN JAYA,PAPUA,-3.4060711,136.659743570968
KABUPATEN JAYAPURA,PAPUA,-2.645407,140.811342708495
KABUPATEN JAYAWIJAYA,PAPUA,-4.5,139.5
KABUPATEN KEEROM,PAPUA,-2.878,140.5334
KABUPATEN KEPULAUAN YAPEN,PAPUA,-1.7564788,136.367660782307
KABUPATEN LANNY JAYA,PAPUA,-3.9755733,138.301929498925
KABUPATEN MAMBERAMO RAYA,PAPUA,-2.2825168,138.0217782
KABUPATEN MAMBERAMO TENGAH,PAPUA,-3.62066835,139.067726276537
KABUPATEN MAPPI,PAPUA,-6.24828315,139.376147455635
KABUPATEN MERAUKE,PAPUA,-8.4902766,140.395582
KABUPATEN MIMIKA,PAPUA,-4.58345125,136.82706826544
KABUPATEN NABIRE,PAPUA,-3.2048097,135.975494347338
KABUPATEN NDUGA,PAPUA,-4.43569965,138.134217687024
KABUPATEN PANIAI,PAPUA,-3.5,136.5
KABUPATEN PEGUNUNGAN BINTANG,PAPUA,-4.49910135,140.488116475
KABUPATEN PUNCAK,PAPUA,-3.5604522,137.318571913459
KABUPATEN PUNCAK JAYA,PAPUA,-4.0794138,137.1590164
KABUPATEN SARMI,PAPUA,-2.3747,139.5567
KABUPATEN SUPIORI,PAPUA,-0.7537058,135.634862919152
KABUPATEN TOLIKARA,PAPUA,-3.4879768,138.400281662355
KABUPATEN WAROPEN,PAPUA,-2.7291479,136.645594093284
KABUPATEN YAHUKIMO,PAPUA,-4.3859774,139.407986521974
KABUPATEN YALIMO,PAPUA,-3.78919155,139.465637592853
KOTA JAYAPURA,PAPUA,-2.645407,140.811342708495
KABUPATEN BOMBANA,SULAWESI TENGGARA,-4.6257,121.81641
KABUPATEN BUTON,SULAWESI TENGGARA,-4.8249,122.0311
KABUPATEN BUTON SELATAN,SULAWESI TENGGARA,-4.3935,122.2149
KABUPATEN BUTON TENGAH,SULAWESI TENGGARA,-4.0836,122.2158
KABUPATEN BUTON UTARA,SULAWESI TENGGARA,-5.01457,122.93015
KABUPATEN KOLAKA,SULAWESI TENGGARA,-3.68156,121.43318
KABUPATEN KOLAKA TIMUR,SULAWESI TENGGARA,-4.01807,121.86172
KABUPATEN KOLAKA UTARA,SULAWESI TENGGARA,-3.10452,121.12427
KABUPATEN KONAWE,SULAWESI TENGGARA,-3.9963307,122.3632331
KABUPATEN KONAWE KEPULAUAN,SULAWESI TENGGARA,-4.11656,123.10181
KABUPATEN KONAWE SELATAN,SULAWESI TENGGARA,-4.19191,122.44854
KABUPATEN KONAWE UTARA,SULAWESI TENGGARA,-3.41552,121.99081
KABUPATEN MUNA,SULAWESI TENGGARA,-4.8685,122.7095
KABUPATEN MUNA BARAT,SULAWESI TENGGARA,-4.3935,122.2149
KABUPATEN WAKATOBI,SULAWESI TENGGARA,-5.31934,123.5948
KOTA BAUBAU,SULAWESI TENGGARA,-5.4107415,122.6890023
KOTA KENDARI,SULAWESI TENGGARA,-3.9935062,122.546710910278
KABUPATEN BIMA,NUSA TENGGARA BARAT,-8.5637593,118.6719665
KABUPATEN DOMPU,NUSA TENGGARA BARAT,-8.5355857,118.4621733
KABUPATEN LOMBOK BARAT,NUSA TENGGARA BARAT,-8.6718889,116.122048
KABUPATEN LOMBOK TENGAH,NUSA TENGGARA BARAT,-8.703071,116.2899373
KABUPATEN LOMBOK TIMUR,NUSA TENGGARA BARAT,-8.6330934,116.5587704
KABUPATEN LOMBOK UTARA,NUSA TENGGARA BARAT,-8.3572425,116.1609208
KABUPATEN SUMBAWA,NUSA TENGGARA BARAT,-8.5945716,117.258739262043
KABUPATEN SUMBAWA BARAT,NUSA TENGGARA BARAT,-8.658515,116.9161845
KOTA BIMA,NUSA TENGGARA BARAT,-8.5637593,118.6719665
KOTA MATARAM,NUSA TENGGARA BARAT,-8.5837726,116.10685
KABUPATEN BENGKALIS,RIAU,1.4773227,102.110402
KABUPATEN INDRAGIRI HILIR,RIAU,-0.2709239,103.328465744278
KABUPATEN INDRAGIRI HULU,RIAU,-0.49228385,102.300827383231
KABUPATEN KAMPAR,RIAU,0.3202742,101.0938664
KABUPATEN KEPULAUAN MERANTI,RIAU,1.0613049,102.701963636429
KABUPATEN KUANTAN SINGINGI,RIAU,-0.4930737,101.4893658
KABUPATEN PELALAWAN,RIAU,0.3924217,101.9703845
KABUPATEN ROKAN HILIR,RIAU,2.1116734,100.6722016
KABUPATEN ROKAN HULU,RIAU,0.8919457,100.466515556514
KABUPATEN S I A K,RIAU,0.5005,101.749
KOTA DUMAI,RIAU,0.5005,101.749
KOTA PEKANBARU,RIAU,0.5262455,101.4515727
KABUPATEN FAKFAK,PAPUA BARAT,-2.9298174,132.2961612
KABUPATEN KAIMANA,PAPUA BARAT,-3.6642872,133.7619247
KABUPATEN MANOKWARI,PAPUA BARAT,-0.8571545,134.0787709
KABUPATEN MANOKWARI SELATAN,PAPUA BARAT,-1.0798,133.96729
KABUPATEN MAYBRAT,PAPUA BARAT,-1.2155,132.35092
KABUPATEN PEGUNUNGAN ARFAK,PAPUA BARAT,-1.2315111,134.087531037246
KABUPATEN RAJA AMPAT,PAPUA BARAT,-0.8686928,131.2512378
KABUPATEN SORONG,PAPUA BARAT,-0.8634105,131.2544805
KABUPATEN SORONG SELATAN,PAPUA BARAT,-0.8867231,131.2814038
KABUPATEN TAMBRAUW,PAPUA BARAT,-1.16449205,133.154174497516
KABUPATEN TELUK BINTUNI,PAPUA BARAT,-2.27199715,133.898095411607
KABUPATEN TELUK WONDAMA,PAPUA BARAT,-2.4570202,134.3911216
KOTA SORONG,PAPUA BARAT,-0.8634105,131.2544805
KABUPATEN BANJARNEGARA,JAWA TENGAH,-7.3961114,109.69516
KABUPATEN BANYUMAS,JAWA TENGAH,-7.5159249,109.2938241
KABUPATEN BATANG,JAWA TENGAH,-7,109.91667
KABUPATEN BLORA,JAWA TENGAH,-6.9691528,111.4130521
KABUPATEN BOYOLALI,JAWA TENGAH,-7.5344079,110.6041944
KABUPATEN BREBES,JAWA TENGAH,-6.8547839,109.0385664
KABUPATEN CILACAP,JAWA TENGAH,-7.7267967,109.009662
KABUPATEN DEMAK,JAWA TENGAH,-6.8947858,110.6385399
KABUPATEN GROBOGAN,JAWA TENGAH,-7.1074,110.9691
KABUPATEN JEPARA,JAWA TENGAH,-6.5,110.83333
KABUPATEN KARANGANYAR,JAWA TENGAH,-6.9681751,110.340986320766
KABUPATEN KEBUMEN,JAWA TENGAH,-7.6686894,109.6519465
KABUPATEN KENDAL,JAWA TENGAH,-7.0256,110.1685
KABUPATEN KLATEN,JAWA TENGAH,-7.7123919,110.603136
KABUPATEN KUDUS,JAWA TENGAH,-6.81,110.8725
KABUPATEN MAGELANG,JAWA TENGAH,-7.4771114,110.2182534
KABUPATEN PATI,JAWA TENGAH,-6.7534144,111.0399982
KABUPATEN PEKALONGAN,JAWA TENGAH,-6.8939623,109.6731758
KABUPATEN PEMALANG,JAWA TENGAH,-6.8903574,109.3806499
KABUPATEN PURBALINGGA,JAWA TENGAH,-7.3894937,109.3587076
KABUPATEN PURWOREJO,JAWA TENGAH,-7.7130136,110.0091162
KABUPATEN REMBANG,JAWA TENGAH,-6.7056856,111.3486234
KABUPATEN SEMARANG,JAWA TENGAH,-6.9904038,110.4229455
KABUPATEN SRAGEN,JAWA TENGAH,-7.4273971,111.023678
KABUPATEN SUKOHARJO,JAWA TENGAH,-7.6899698,110.724304
KABUPATEN TEGAL,JAWA TENGAH,-6.8673767,109.1378833
KABUPATEN TEMANGGUNG,JAWA TENGAH,-7.3162377,110.1754504
KABUPATEN WONOGIRI,JAWA TENGAH,-7.8160195,110.9217987
KABUPATEN WONOSOBO,JAWA TENGAH,-7.3586632,109.9030206
KOTA MAGELANG,JAWA TENGAH,-7.4771114,110.2182534
KOTA PEKALONGAN,JAWA TENGAH,-6.8939623,109.6731758
KOTA SALATIGA,JAWA TENGAH,-7.3302642,110.4995353
KOTA SEMARANG,JAWA TENGAH,-6.9904038,110.4229455
KOTA SURAKARTA,JAWA TENGAH,-7.5692462,110.828448
KOTA TEGAL,JAWA TENGAH,-6.8673767,109.1378833
KABUPATEN BENGKULU SELATAN,BENGKULU,-3.8094452,102.7453852
KABUPATEN BENGKULU TENGAH,BENGKULU,-3.4640488,102.527093
KABUPATEN BENGKULU UTARA,BENGKULU,0.5021185,101.4629386
KABUPATEN KAUR,BENGKULU,-4.78179,103.36109
KABUPATEN KEPAHIANG,BENGKULU,-3.6364815,102.5676562
KABUPATEN LEBONG,BENGKULU,-3.24278,102.3349
KABUPATEN MUKOMUKO,BENGKULU,-2.553112,101.1037813
KABUPATEN REJANG LEBONG,BENGKULU,-3.3294,102.4496
KABUPATEN SELUMA,BENGKULU,-4.1388142,102.5192417
KOTA BENGKULU,BENGKULU,-3.586767,102.44219
KABUPATEN BINTAN,KEPULAUAN RIAU,1.0766671,104.500278
KABUPATEN KARIMUN,KEPULAUAN RIAU,0.80764,103.41911
KABUPATEN KEPULAUAN ANAMBAS,KEPULAUAN RIAU,3,106
KABUPATEN LINGGA,KEPULAUAN RIAU,0.2,104.61667
KABUPATEN NATUNA,KEPULAUAN RIAU,4.71417,107.97639
KOTA BATAM,KEPULAUAN RIAU,1.1061034,104.0378246
KOTA TANJUNG PINANG,KEPULAUAN RIAU,0.9236915,104.446094
KABUPATEN LAMPUNG BARAT,LAMPUNG,-7.9144403,113.9325333
KABUPATEN LAMPUNG SELATAN,LAMPUNG,-4.7254453,105.4878778
KABUPATEN LAMPUNG TENGAH,LAMPUNG,-5.31169975,104.309361826189
KABUPATEN LAMPUNG TIMUR,LAMPUNG,-5.3098062,104.316308095514
KABUPATEN LAMPUNG UTARA,LAMPUNG,-5.2,106.45
KABUPATEN MESUJI,LAMPUNG,-4.0439,105.4013
KABUPATEN PESAWARAN,LAMPUNG,-5.4782102,105.0086268
KABUPATEN PESISIR BARAT,LAMPUNG,-5.19323,103.93976
KABUPATEN PRINGSEWU,LAMPUNG,-5.3554079,104.9774115
KABUPATEN TANGGAMUS,LAMPUNG,-5.416667,104.7
KABUPATEN TULANG BAWANG BARAT,LAMPUNG,-4.43975,105.0444
KABUPATEN TULANGBAWANG,LAMPUNG,-4.20604,105.57999
KABUPATEN WAY KANAN,LAMPUNG,-4.44705,104.52753
KOTA BANDAR LAMPUNG,LAMPUNG,-5.4460713,105.2643742
KOTA METRO,LAMPUNG,-5.1078839,105.3078642
KABUPATEN BANYU ASIN,SUMATERA SELATAN,-2.88333,104.38306
KABUPATEN EMPAT LAWANG,SUMATERA SELATAN,3.22667,99.09256
KABUPATEN LAHAT,SUMATERA SELATAN,-3.7864,103.5428
KABUPATEN MUARA ENIM,SUMATERA SELATAN,-3.640267,103.777546876381
KABUPATEN MUSI BANYUASIN,SUMATERA SELATAN,-2.494,104.2822
KABUPATEN MUSI RAWAS,SUMATERA SELATAN,-2.9545,102.9905
KABUPATEN MUSI RAWAS UTARA,SUMATERA SELATAN,-2.48533,103.29346
KABUPATEN OGAN ILIR,SUMATERA SELATAN,-3.43186,104.62727
KABUPATEN OGAN KOMERING ILIR,SUMATERA SELATAN,-3.25,105.16667
KABUPATEN OGAN KOMERING ULU,SUMATERA SELATAN,-4.10045725,104.009346589801
KABUPATEN OGAN KOMERING ULU SELATAN,SUMATERA SELATAN,-4.5651555,103.982194962591
KABUPATEN OGAN KOMERING ULU TIMUR,SUMATERA SELATAN,-4.08266415,104.574693842274
KABUPATEN PENUKAL ABAB LEMATANG ILIR,SUMATERA SELATAN,-3.21342,104.08722
KOTA LUBUKLINGGAU,SUMATERA SELATAN,-3.2919136,102.8715732
KOTA PAGAR ALAM,SUMATERA SELATAN,-4.0209526,103.2501603
KOTA PALEMBANG,SUMATERA SELATAN,-2.9888297,104.756857
KOTA PRABUMULIH,SUMATERA SELATAN,-3.4382688,104.2310181
KABUPATEN ASAHAN,SUMATERA UTARA,2.5319024,99.2877388
KABUPATEN BATU BARA,SUMATERA UTARA,3.5564886,99.6284466042713
KABUPATEN DAIRI,SUMATERA UTARA,2.83541415,98.2845104977451
KABUPATEN DELI SERDANG,SUMATERA UTARA,3.6947182,98.8310014725565
KABUPATEN HUMBANG HASUNDUTAN,SUMATERA UTARA,2.247581,98.6010198822036
KABUPATEN KARO,SUMATERA UTARA,2.9827,98.4398
KABUPATEN LABUHAN BATU,SUMATERA UTARA,2.41667,99.75
KABUPATEN LABUHAN BATU SELATAN,SUMATERA UTARA,2.1910827,99.8467312
KABUPATEN LABUHAN BATU UTARA,SUMATERA UTARA,3.2009578,99.5635788
KABUPATEN LANGKAT,SUMATERA UTARA,3.8290501,98.2482739745434
KABUPATEN MANDAILING NATAL,SUMATERA UTARA,0.7450915,99.2187861559504
KABUPATEN NIAS,SUMATERA UTARA,1.16667915,97.9692922740751
KABUPATEN NIAS BARAT,SUMATERA UTARA,0.8964868,97.343337530101
KABUPATEN NIAS SELATAN,SUMATERA UTARA,0.0680552,98.2622388686051
KABUPATEN NIAS UTARA,SUMATERA UTARA,1.37475605,97.1445692603373
KABUPATEN PADANG LAWAS,SUMATERA UTARA,1.1565902,99.8108040705144
KABUPATEN PADANG LAWAS UTARA,SUMATERA UTARA,1.6364047,99.6910375245965
KABUPATEN PAKPAK BHARAT,SUMATERA UTARA,2.52988165,98.2678582912727
KABUPATEN SAMOSIR,SUMATERA UTARA,2.54472885,98.5711362096177
KABUPATEN SERDANG BEDAGAI,SUMATERA UTARA,3.593005,99.1581740765854
KABUPATEN SIMALUNGUN,SUMATERA UTARA,2.9505161,98.7835306238317
KABUPATEN TAPANULI SELATAN,SUMATERA UTARA,1.5510869,99.2117571083333
KABUPATEN TAPANULI TENGAH,SUMATERA UTARA,1.82312845,98.2797677307322
KABUPATEN TAPANULI UTARA,SUMATERA UTARA,1.9980604,99.0647658625032
KABUPATEN TOBA SAMOSIR,SUMATERA UTARA,2.39793,99.21678
KOTA BINJAI,SUMATERA UTARA,3.6063964,98.4899865
KOTA GUNUNGSITOLI,SUMATERA UTARA,1.2900569,97.6150768
KOTA MEDAN,SUMATERA UTARA,3.5896654,98.6738261
KOTA PADANGSIDIMPUAN,SUMATERA UTARA,1.372696,99.2727172
KOTA PEMATANG SIANTAR,SUMATERA UTARA,2.9588631,99.0653646
KOTA SIBOLGA,SUMATERA UTARA,1.736957,98.78461
KOTA TANJUNG BALAI,SUMATERA UTARA,2.9703521,99.8020903
KOTA TEBING TINGGI,SUMATERA UTARA,3.3273686,99.1623025
KABUPATEN AGAM,SUMATERA BARAT,-0.2634005,100.17201627525
KABUPATEN DHARMASRAYA,SUMATERA BARAT,-1.05853885,101.644025511636
KABUPATEN KEPULAUAN MENTAWAI,SUMATERA BARAT,-1.989171,99.519017
KABUPATEN LIMA PULUH KOTA,SUMATERA BARAT,-0.0041436,100.559271449341
KABUPATEN PADANG PARIAMAN,SUMATERA BARAT,-1.0076,100.615
KABUPATEN PASAMAN,SUMATERA BARAT,0.3949695,100.191557260068
KABUPATEN PASAMAN BARAT,SUMATERA BARAT,0.28152,99.51965
KABUPATEN PESISIR SELATAN,SUMATERA BARAT,-1.4893,100.7974
KABUPATEN SIJUNJUNG,SUMATERA BARAT,-1.1827,101.6056
KABUPATEN SOLOK,SUMATERA BARAT,-0.7924,100.6595
KABUPATEN SOLOK SELATAN,SUMATERA BARAT,-1.5690427,101.2509637
KABUPATEN TANAH DATAR,SUMATERA BARAT,-0.41708,100.442
KOTA BUKITTINGGI,SUMATERA BARAT,-0.3051954,100.3694921
KOTA PADANG,SUMATERA BARAT,-0.9524785,100.3632419
KOTA PADANG PANJANG,SUMATERA BARAT,-0.46721,100.40226
KOTA PARIAMAN,SUMATERA BARAT,-0.6263889,100.1177778
KOTA PAYAKUMBUH,SUMATERA BARAT,-0.2249721,100.6318259
KOTA SAWAH LUNTO,SUMATERA BARAT,-0.6748,100.8075
KOTA SOLOK,SUMATERA BARAT,-0.79183,100.65932
KABUPATEN ACEH BARAT,ACEH,4.44225205,96.1929830471868
KABUPATEN ACEH BARAT DAYA,ACEH,3.83394495,96.8514849946396
KABUPATEN ACEH BESAR,ACEH,5.35429985,95.4961358334278
KABUPATEN ACEH JAYA,ACEH,4.81056095,95.7012319789216
KABUPATEN ACEH SELATAN,ACEH,3.0671775,97.4691965978328
KABUPATEN ACEH SINGKIL,ACEH,2.3771105,97.9234817193207
KABUPATEN ACEH TAMIANG,ACEH,4.21226245,97.9147111360422
KABUPATEN ACEH TENGAH,ACEH,4.564267,96.9618926263566
KABUPATEN ACEH TENGGARA,ACEH,3.338797,97.7456423738938
KABUPATEN ACEH TIMUR,ACEH,4.7019125,97.6455231781231
KABUPATEN ACEH UTARA,ACEH,4.99119405,97.1587368058996
KABUPATEN BENER MERIAH,ACEH,4.77387985,96.9780036303507
KABUPATEN BIREUEN,ACEH,5.0827404,96.5921211980314
